Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
modification/mg15120gunpod_mod/desc;Allows installing WB 151 gun pods.;Allows the installation of WB 151 gun pod.;nice;;;;;;;;;;;;;;;;;;;
modification/mg15120gunpod_mod_bf110;WB 151;WB 151;same;;;;;;;;;;;;;;;;;;;
modification/mg15120gunpod_mod_bf110/desc;Allows installing WB 151 gun pod.;Allows the installation of WB 151 gun pod.;nice;;;;;;;;;;;;;;;;;;;
modification/do-335a-0_mg15115_mod;MG151 15;MG151 15;same;;;;;;;;;;;;;;;;;;;
modification/do-335a-0_mg15115_mod/desc;Allows replacement of MG151/20 with MG151.;Allows replacement of MG151 20 by MG151 15.;nice;;;;;;;;;;;;;;;;;;;
modification/turnTurretSpeedK_change;%s to turret slewing rate;%s to turret slewing rate;same;;;;;;;;;;;;;;;;;;;
modification/gunPitchSpeedK_change;%s to guns lifting speed;%s to guns lifting speed;same;;;;;;;;;;;;;;;;;;;
modification/maxInclination_change;%s to maximum inclination;%s to maximum inclination;same;;;;;;;;;;;;;;;;;;;
modification/maxDeltaAngleK_change;%s to the horizontal weapon spread;%s to the horizontal weapon spread;same;;;;;;;;;;;;;;;;;;;
modification/maxDeltaAngleVerticalK_change;%s to the vertical weapon spread;%s to the vertical weapon spread;same;;;;;;;;;;;;;;;;;;;
modification/maxBrakeForceK_change;%s to brake force;%s to brake force;same;;;;;;;;;;;;;;;;;;;
modification/suspensionDampeningForceK_change;%s to suspension damping;%s to suspension damping;same;;;;;;;;;;;;;;;;;;;
modification/timeToBrake_change;%s to full stop;%s to full stop;same;;;;;;;;;;;;;;;;;;;
modification/distToBrake_change;%s to braking distance;%s to braking distance;same;;;;;;;;;;;;;;;;;;;
modification/trackFricFrontalK_change;%s to traction characteristics;%s to traction characteristics;same;;;;;;;;;;;;;;;;;;;
modification/accelTime_change;%s to acceleration time;%s to acceleration time;same;;;;;;;;;;;;;;;;;;;
modification/viewDist_change;%s to crew's visual range;%s to crew's visual range;same;;;;;;;;;;;;;;;;;;;
modification/respawnCost_change;%s reducing the aircraft SP respawn cost;%s reducing the aircraft respawn cost (in SP);nice;;;;;;;;;;;;;;;;;;;
modification/itc250;EHVC 500;EHVC 500;same;;;;;;;;;;;;;;;;;;;
modification/itc250/desc;Allows installing 250 kg bombs.;Allows the installation of 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/itc250_add;EHVC 500/II;EHVC 500/II;same;;;;;;;;;;;;;;;;;;;
modification/itc250_add/desc;Allows installing additional 250 kg bombs.;Allows the installation of additional 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/blackburn_tc;FTC mk.IV;FTC mk.IV;same;;;;;;;;;;;;;;;;;;;
modification/blackburn_tc/desc;Allows installing a torpedo.;Allows the installation of 1 torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/mb_175_lbt_130;LBT 130;LBT 130;same;;;;;;;;;;;;;;;;;;;
modification/mb_175_lbt_130/desc;Allows installing a LT F5w torpedo.;Allows the installation of 1 torpedo LTF-5b.;nice;;;;;;;;;;;;;;;;;;;
modification/partHpMult_change;%s to overall module strength;%s to overall module strength;same;;;;;;;;;;;;;;;;;;;
modification/etc502_pylon;ETC 502;ETC 502;same;;;;;;;;;;;;;;;;;;;
modification/etc502_pylon/desc;Allows installing 2 x torpedoes.;Allows the installation of torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/etc500_3_mod;SC 500;SC 500;same;;;;;;;;;;;;;;;;;;;
modification/etc500_3_mod/desc;Allows installing 500 kg bombs.;Allows the installation of 500 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/etc1000_1_mod;SC 1000;SC 1000;same;;;;;;;;;;;;;;;;;;;
modification/etc1000_1_mod/desc;Allows installing 1000 kg bombs.;Allows the installation of 1000 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/subc_mk1;SUBC mk.I;SUBC mk.I;same;;;;;;;;;;;;;;;;;;;
modification/subc_mk1/desc;Allows installing 500 lb bombs.;Allows the installation of 500 lb bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/subc_mk3;MBC mk.III;MBC mk.III;same;;;;;;;;;;;;;;;;;;;
modification/subc_mk3/desc;Allows installing 1000 lb bombs.;Allows the installation of 1000 lb bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/subc_mk3_2;MBC mk.III/II;MBC mk.III/II;same;;;;;;;;;;;;;;;;;;;
modification/subc_mk3_2/desc;Allows installing additional 1000 lb bombs.;Allows the installation of additional 1000 lb bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/blackoutG_change;%s to max positive G-force;%s to max positive G-force;same;;;;;;;;;;;;;;;;;;;
modification/redoutG_change;%s to max negative G-force;%s to max negative G-force;same;;;;;;;;;;;;;;;;;;;
sensors/cn_type_280;Type 280;Type 280;same;;;;;;;;;;;;;;;;;;;
sensors/cn_type_208a;Type 208a;Type 208a;same;;;;;;;;;;;;;;;;;;;
sensors/cn_jl_7a;JL-7A;JL-7A;same;;;;;;;;;;;;;;;;;;;
sensors/cn_type_930_4;Type 930-4;Type 930-4;same;;;;;;;;;;;;;;;;;;;
sensors/su_1rl33;1RL33;1RL33;same;;;;;;;;;;;;;;;;;;;
sensors/su_1rl33rt;1RL33RT;1RL33;trim;;;;;;;;;;;;;;;;;;;
sensors/su_1rl34;1RL34;1RL34;same;;;;;;;;;;;;;;;;;;;
sensors/su_9s86;9S86;9S86;same;;;;;;;;;;;;;;;;;;;
sensors/su_1rl144_search;1RL114 SRC;1RL144;trim;;;;;;;;;;;;;;;;;;;
sensors/su_1rl144_track;1RL114 TRK;1RL144;trim;;;;;;;;;;;;;;;;;;;
sensors/su_1rs1;1RS1;1RS1;same;;;;;;;;;;;;;;;;;;;
sensors/su_1rs2;1RS2;1RS2;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_mpq_64;AN/MPQ-64;AN/MPQ-64;same;;;;;;;;;;;;;;;;;;;
sensors/de_hensoldt_trml_4b;TRML-4D;TRML-4D;same;;;;;;;;;;;;;;;;;;;
sensors/jp_type_81_search;Type 81 TA;Type 81 TA;same;;;;;;;;;;;;;;;;;;;
sensors/sw_giraffe_1x;Giraffe 1X;Giraffe 1X;same;;;;;;;;;;;;;;;;;;;
sensors/il_spyder_search;SPIDER AIO TA;SPIDER AIO TA;same;;;;;;;;;;;;;;;;;;;
sensors/cn_pgz_625_search;PGZ-625 TA;PGZ-625 TA;same;;;;;;;;;;;;;;;;;;;
sensors/cn_pgz_625_track;PGZ-625 TT;PGZ-625 TT;same;;;;;;;;;;;;;;;;;;;
sensors/su_tor_search;TOR SRC;TOR-M1;trim;;;;;;;;;;;;;;;;;;;
sensors/su_tor_track;TOR TRK;TOR-M1;trim;;;;;;;;;;;;;;;;;;;
sensors/su_cd-30;CD-30;CD-30;same;;;;;;;;;;;;;;;;;;;
sensors/su_foot_n;Foot-N;Foot-N;same;;;;;;;;;;;;;;;;;;;
sensors/su_khrizantema;1L32-1;1L32-1;same;;;;;;;;;;;;;;;;;;;
sensors/su_mr_105;MR-105;MR-105;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-10;SPO-10;SPO-10;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-150-16m;L-150-16M;L-150-16M;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-15;SPO-15;SPO-15;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-15l;SPO-15L;SPO-15L;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-15lm;SPO-15LM;SPO-15LM;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-15le;SPO-15LE;SPO-15LE;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-15s;SPO-15S;SPO-15S;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-150;SPO-150;SPO L-150;nice;;;;;;;;;;;;;;;;;;;
sensors/su_spo-2;SPO-2;SPO-2;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-150-28m;L-150-28M;L-150-28M;same;;;;;;;;;;;;;;;;;;;
sensors/su_spo-150-30sm;L-150-30SM;L-150-30SM;same;;;;;;;;;;;;;;;;;;;
sensors/su_srd-1;SRD-1;SRD-1;same;;;;;;;;;;;;;;;;;;;
sensors/su_srd-5;SRD-5;SRD-5;same;;;;;;;;;;;;;;;;;;;
sensors/cn_rw_30;RW-30;RW-30;same;;;;;;;;;;;;;;;;;;;
sensors/su_rp-5_search;RP-5 SRC;RP-5;trim;;;;;;;;;;;;;;;;;;;
sensors/su_rp-5_track;RP-5 TRK;RP-5;trim;;;;;;;;;;;;;;;;;;;
sensors/su_sapphire_21;Sapphire-21;Sapphire-21;same;;;;;;;;;;;;;;;;;;;
sensors/su_sapphire_23;Sapphire-23D/TP-23;Sapphire-23D/TP-23;same;;;;;;;;;;;;;;;;;;;
sensors/su_sapphire_23e;Sapphire-23E/TP-23-1;Sapphire-23E/TP-23-1;same;;;;;;;;;;;;;;;;;;;
sensors/su_sapphire_23mla_2;Sapphire-23MLA-2/TP-23M;Sapphire-23MLA-2/TP-23M;same;;;;;;;;;;;;;;;;;;;
sensors/su_sapphire_23mla;Sapphire-23MLA/TP-23M;Sapphire-23MLA/TP-23M;same;;;;;;;;;;;;;;;;;;;
sensors/su_sapphire_23ml;Sapphire-23ML/TP-23M;Sapphire-23ML/TP-23M;same;;;;;;;;;;;;;;;;;;;
sensors/su_n_019;N019/OEPS-29;N019/OEPS-29;same;;;;;;;;;;;;;;;;;;;
sensors/su_n_010;N010;N010;same;;;;;;;;;;;;;;;;;;;
sensors/su_n_001vep;N001VEP;N001VEP;same;;;;;;;;;;;;;;;;;;;
sensors/su_n_001k;N001K;N001K;same;;;;;;;;;;;;;;;;;;;
sensors/su_v_004;V004;V004;same;;;;;;;;;;;;;;;;;;;
sensors/su_vn_001;VN001;VN001;same;;;;;;;;;;;;;;;;;;;
sensors/fr_aida_2;Aida II;Aida II;same;;;;;;;;;;;;;;;;;;;
sensors/su_rp-1_search;RP-1 SRC;RP-1;trim;;;;;;;;;;;;;;;;;;;
sensors/su_rp-1_track;RP-1 TRK;RP-1;trim;;;;;;;;;;;;;;;;;;;
sensors/sw_ps-011a_71h_ir;PS-011/A 71H(IR);PS-011/A 71H(IR);same;;;;;;;;;;;;;;;;;;;
sensors/fr_serval_rwr;SERVAL;SERVAL;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apr_25;AN/APR-25;AN/APR-25;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apr_27;AN/APR-27;AN/APR-27;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apr_32;AN/APR-32;AN/APR-32;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apr_36;AN/APR-36;AN/APR-36;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apr_39;AN/APR-39;AN/APR-39;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_49;AN/ALR-49;AN/ALR-49;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_45v;AN/ALR-45(V);AN/ALR-45(V);same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_45f_v;AN/ALR-45F(V);AN/ALR-45F(V);same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_56m;AN/ALR-56M;AN/ALR-56M;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_56a;AN/ALR-56A;AN/ALR-56A;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_67;AN/ALR-67(V)2;AN/ALR-67(V)2;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_alr_67_v_3;AN/ALR-67(V)3;AN/ALR-67(V)3;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_avr-2;AN/AVR-2;AN/AVR-2;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_avs-2;AN/AVS-2;AN/AVS-2;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apq_100;AN/APQ-100;AN/APQ-100;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_59;AN/APG-59;AN/APG-59;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_59_f_4j;AN/APG-59;AN/APG-59;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_59u;AN/APG-59U;AN/APG-59U;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_60;AN/APG-60;AN/APG-60;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_61;AN/APG-61;AN/APG-61;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_66;AN/APG-66;AN/APG-66;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_66_v_1;AN/APG-66(V)1;AN/APG-66(V)1;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_66_v_3;AN/APG-66(V)3;AN/APG-66(V)3;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_68_v_5;AN/APG-68(V)5;AN/APG-68(V)5;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_68_v_7;AN/APG-68(V)7;AN/APG-68(V)7;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_68_v_9;AN/APG-68(V)9;AN/APG-68(V)9;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_63;AN/APG-63;AN/APG-63;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_63_psp;AN/APG-63 PSP;AN/APG-63 PSP;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_63_v_1;AN/APG-63(V)1;AN/APG-63(V)1;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_70;AN/APG-70;AN/APG-70;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_70i;AN/APG-70I;AN/APG-70I;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_73;AN/APG-73;AN/APG-73;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_73_hms;AN/APG-73;AN/APG-73;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_65gy;AN/APG-65GY;AN/APG-65GY;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_65q;AN/APG-65Q;AN/APG-65Q;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_67;AN/APG-67;AN/APG-67;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apg_76_an_asx_1;AN/APG-76;AN/APG-76;same;;;;;;;;;;;;;;;;;;;
sensors/us_comanche_fcr;CR;CR;same;;;;;;;;;;;;;;;;;;;
sensors/jp_j_apg_1;J/APG-1;J/APG-1;same;;;;;;;;;;;;;;;;;;;
sensors/jp_j_apg_2;J/APG-2;J/APG-2;same;;;;;;;;;;;;;;;;;;;
sensors/uk_ari_18223;ARI 18223;ARI 18223;same;;;;;;;;;;;;;;;;;;;
sensors/uk_ari_23333;ARI 23333/1;ARI 23333/1;same;;;;;;;;;;;;;;;;;;;
sensors/uk_ari_18228;ARI 18228;ARI 18228;same;;;;;;;;;;;;;;;;;;;
sensors/uk_ari_23284;ARI 23284;ARI 23284;same;;;;;;;;;;;;;;;;;;;
sensors/uk_ari_23264_1;ARI 23264/1;ARI 23264/1;same;;;;;;;;;;;;;;;;;;;
sensors/uk_marconi_ai_mk24w;AI.24 Foxhunter Type W;GEC-Marconi Avionics AI.Mk 24 Foxhunter Type W;nice;;;;;;;;;;;;;;;;;;;
sensors/uk_marconi_ai_mk24z;AI.24 Foxhunter Type Z;GEC-Marconi Avionics AI.Mk 24 Foxhunter Type Z;nice;;;;;;;;;;;;;;;;;;;
sensors/uk_marconi_ai_mk24_stage_2g;AI.24 Foxhunter Stage 2G;GEC-Marconi Avionics AI.24 Foxhunter Stage 2G;nice;;;;;;;;;;;;;;;;;;;
sensors/uk_marconi_ai_mk24_stage_3g;AI.24 Foxhunter Stage 3G;GEC-Marconi Avionics AI.24 Foxhunter Stage 3G;nice;;;;;;;;;;;;;;;;;;;
sensors/uk_ferranti_blue_fox;Blue Fox;Ferranti Blue Fox;nice;;;;;;;;;;;;;;;;;;;
sensors/fr_thales_rdy;Radar Doppler Multicible;Thales RDY;trim;;;;;;;;;;;;;;;;;;;
sensors/fr_thomson-csf_rdm;Radar Doppler Multifonction;Thomson-CSF RDM;trim;;;;;;;;;;;;;;;;;;;
sensors/il_elisra_sps_200;SPS-200;SPS-200;same;;;;;;;;;;;;;;;;;;;
sensors/it_ralm-101;RALM-101;RALM-101;same;;;;;;;;;;;;;;;;;;;
sensors/su_l-140;L-140;L-140;same;;;;;;;;;;;;;;;;;;;
sensors/su_l_370_2;L-370-2;L-370-2;same;;;;;;;;;;;;;;;;;;;
sensors/su_l-082;L082;L082;same;;;;;;;;;;;;;;;;;;;
sensors/su_rn_01_arbalet;RN-01 Crossbow;RN-01 Crossbow;same;;;;;;;;;;;;;;;;;;;
sensors/su_kopio_25;Kopyo-25;Kopyo-25;same;;;;;;;;;;;;;;;;;;;
sensors/su_kopio;Kopyo-21;Kopyo-21;same;;;;;;;;;;;;;;;;;;;
sensors/su_thorium;Thorium;Thorium;same;;;;;;;;;;;;;;;;;;;
sensors/us_an_apq_83;AN/APQ-83;AN/APQ-83;same;;;;;;;;;;;;;;;;;;;
sensors/sw_ps-46a;PS-46/A;PS-46/A;same;;;;;;;;;;;;;;;;;;;
sensors/sw_ps-371a;PS-371/A;PS-371/A;same;;;;;;;;;;;;;;;;;;;
sensors/jp_awg_11;J/AWG-11;J/AWG-11;same;;;;;;;;;;;;;;;;;;;
sensors/jp_awg_12;J/AWG-12;J/AWG-12;same;;;;;;;;;;;;;;;;;;;
sensors/su_gneys_5s;GNEYS-5S;GNEYS-5S;same;;;;;;;;;;;;;;;;;;;
sensors/de_roland_sr;MPDR-16;SAG MPDR-16;nice;;;;;;;;;;;;;;;;;;;
sensors/de_roland_fr;Domino 30;Thomson-CSF Domino 30;nice;;;;;;;;;;;;;;;;;;;
sensors/uk_rapier_sr;Rapier TA;Rapier TA;same;;;;;;;;;;;;;;;;;;;
sensors/uk_rapier_fr;Rapier TT;Rapier TT;same;;;;;;;;;;;;;;;;;;;
sensors/de_gepard_sr;MPDR-12;SAG MPDR-12;nice;;;;;;;;;;;;;;;;;;;
sensors/de_gepard_fr;SAZ pulse doppler TRK;SAZ pulse doppler monopulse;nice;;;;;;;;;;;;;;;;;;;
sensors/tv_tracker;TV auto TRK;Auto tracker;nice;;;;;;;;;;;;;;;;;;;
sensors/tv_tracker_tgp;TV auto TGP;Auto tracker;nice;;;;;;;;;;;;;;;;;;;
sensors/tv_tracker_tgp_mercury;Mercury low-light TV pod;Mercury low-light TV pod;same;;;;;;;;;;;;;;;;;;;
sensors/tv_tracker_tgp_platan;Platan low-light TV pod;Platan low-light TV pod;same;;;;;;;;;;;;;;;;;;;
sensors/ir_tracker;IR auto TRK;Auto tracker;nice;;;;;;;;;;;;;;;;;;;
sensors/ir_tracker_tgp;IR auto TGP;Auto tracker;nice;;;;;;;;;;;;;;;;;;;
sensors/sw_triad_search;TRS 2620 H;Thomson CSF Harfang TRS 2620 H;nice;;;;;;;;;;;;;;;;;;;
sensors/cn_helicopter_z_lws;LWS;LWS;same;;;;;;;;;;;;;;;;;;;
sensors/cn_helicopter_z_rwr;RWR;RWR;same;;;;;;;;;;;;;;;;;;;
sensors/cn_helicopter_z_mlws;MLWS;MLWS;same;;;;;;;;;;;;;;;;;;;
sensors/sw_app_f9_5;APP F9/5;APP F9/5;same;;;;;;;;;;;;;;;;;;;
sensors/su_n_019e;N019E/OEPS-29E;N019E/OEPS-29E;same;;;;;;;;;;;;;;;;;;;
sensors/cn_type_1473;Type 1473;Type 1473;same;;;;;;;;;;;;;;;;;;;
plane_engine_type;Type;Type;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/inline;Inline;Inline;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/radial;Radial;Radial;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/jet;Jet;Jet;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/rocket;Rocket;Rocket;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/pvrd;Ramjet;Ramjet;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/turboprop;Turboprop;Turboprop;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/turboshaft;Turboshaft;Turboshaft;same;;;;;;;;;;;;;;;;;;;
plane_engine_type/unknown;Unknown;Unknown;same;;;;;;;;;;;;;;;;;;;
plane_engine_cooling_type;Cooling type;Cooling type;same;;;;;;;;;;;;;;;;;;;
plane_engine_cooling_type_air;Air;Air;same;;;;;;;;;;;;;;;;;;;
plane_engine_cooling_type_water;Water;Water;same;;;;;;;;;;;;;;;;;;;
engine_power;Power;Power;same;;;;;;;;;;;;;;;;;;;
engine_thrust;Thrust;Thrust;same;;;;;;;;;;;;;;;;;;;
measureUnits/kgf;kgf;kgf;same;;;;;;;;;;;;;;;;;;;
engine_manufacturer/maybach;Maybach;Maybach;same;;;;;;;;;;;;;;;;;;;
engine_manufacturer/gnome_et_rhone;Gnome et Rhône;Gnome et Rhône;same;;;;;;;;;;;;;;;;;;;
engine_manufacturer/junkers;Junkers;Junkers;same;;;;;;;;;;;;;;;;;;;
engine_model/jumo004d;Jumo 004D;Jumo 004D;same;;;;;;;;;;;;;;;;;;;
engine_model/14m4/5;14M-4/5;14M 4/5;nice;;;;;;;;;;;;;;;;;;;
engine_model/hl230p30;HL230 P30;HL230 P30;same;;;;;;;;;;;;;;;;;;;
engine_model/mitsubishi_10zf_22wt;10ZF 22WT;Mitsubishi 10ZF 22WT;nice;;;;;;;;;;;;;;;;;;;
engine_configuration/v12;V12;V12;same;;;;;;;;;;;;;;;;;;;
engine_type/petrol;Petrol;Petrol;same;;;;;;;;;;;;;;;;;;;
engine_type/diesel;Diesel;Diesel;same;;;;;;;;;;;;;;;;;;;
engine_type/gasturbine;Gas turbine;Gas turbine;same;;;;;;;;;;;;;;;;;;;
engine_cylinders_postfix;-cylinder;-cylinder;same;;;;;;;;;;;;;;;;;;;
engine_displacement;Displacement;Displacement;same;;;;;;;;;;;;;;;;;;;
measureUnits/displacement;{num} {num=liter/liters};{num} {num=liter/liters};same;;;;;;;;;;;;;;;;;;;
fuelTank/selfsealing;Self-sealing;Self-sealing;same;;;;;;;;;;;;;;;;;;;
fuelTank/not_selfsealing;Not self-sealing;Not self-sealing;same;;;;;;;;;;;;;;;;;;;
engine_power_takeoff;Takeoff power;Takeoff power;same;;;;;;;;;;;;;;;;;;;
engine_thrust_takeoff;Takeoff thrust;Takeoff thrust;same;;;;;;;;;;;;;;;;;;;
engine_thrust_afterburner;Afterburner thrust;Afterburner thrust;same;;;;;;;;;;;;;;;;;;;
engine_power_max;Max power;Max power;same;;;;;;;;;;;;;;;;;;;
engine_thrust_max;Max thrust;Max thrust;same;;;;;;;;;;;;;;;;;;;
radar;Radar;Radar;same;;;;;;;;;;;;;;;;;;;
radar_irst;Radar/IRST;Radar/IRST;same;;;;;;;;;;;;;;;;;;;
irst;IRST;IRST;same;;;;;;;;;;;;;;;;;;;
radar_tv;Radar/TV tracker;Radar/TV tracker;same;;;;;;;;;;;;;;;;;;;
tv;TV tracker;TV tracker;same;;;;;;;;;;;;;;;;;;;
radar_type;Type;Type;same;;;;;;;;;;;;;;;;;;;
search_radar;Search Radar;Search Radar;same;;;;;;;;;;;;;;;;;;;
search_radar_irst;Search Radar/IRST;Search Radar/IRST;same;;;;;;;;;;;;;;;;;;;
search_irst;Search IRST;Search IRST;same;;;;;;;;;;;;;;;;;;;
search_radar_tv;Search Radar/TV;Search Radar/TV;same;;;;;;;;;;;;;;;;;;;
search_tv;Search TV;Search TV;same;;;;;;;;;;;;;;;;;;;
track_radar;Track Radar;Track Radar;same;;;;;;;;;;;;;;;;;;;
track_radar_irst;Track Radar/IRST;Track Radar/IRST;same;;;;;;;;;;;;;;;;;;;
track_irst;Track IRST;Track IRST;same;;;;;;;;;;;;;;;;;;;
track_radar_tv;Track Radar/TV;Track Radar/TV;same;;;;;;;;;;;;;;;;;;;
track_tv;TV Tracker;TV Tracker;same;;;;;;;;;;;;;;;;;;;
radar_range_finder;Radar rangefinder;Radar Range-Finder;nice;;;;;;;;;;;;;;;;;;;
radar_freq_band;Band;Band;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_0;A;A;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_1;B;B;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_2;C;C;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_3;D;D;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_4;E;E;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_5;F;F;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_6;G;G;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_7;H;H;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_8;I;I;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_9;J;J;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_10;K;K;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_11;L;L;same;;;;;;;;;;;;;;;;;;;
radar_freq_band_12;M;M;same;;;;;;;;;;;;;;;;;;;
radar_range_max;Range;Range;same;;;;;;;;;;;;;;;;;;;
radar_search_zone_max;Search zone;Search zone;same;;;;;;;;;;;;;;;;;;;
radar_ld;Look-down;Look-down;same;;;;;;;;;;;;;;;;;;;
radar_ld_head_on;Head-on;Head-on;same;;;;;;;;;;;;;;;;;;;
radar_ld_head_on_velocity;Head-on, velocity search;Head-on, velocity search;same;;;;;;;;;;;;;;;;;;;
radar_ld_all_aspects;All aspects;All aspects;same;;;;;;;;;;;;;;;;;;;
radar_lu;Look-up;Look-up;same;;;;;;;;;;;;;;;;;;;
radar_tws;TWS;TWS;same;;;;;;;;;;;;;;;;;;;
radar_tws_plus;TWS+;TWS+;same;;;;;;;;;;;;;;;;;;;
radar_tws_esa;TWS ESA;TWS ESA;same;;;;;;;;;;;;;;;;;;;
radar_ram;RAM;RAM;same;;;;;;;;;;;;;;;;;;;
radar_iff;IFF;IFF;same;;;;;;;;;;;;;;;;;;;
radar_bvr_mode;BVR mode;BVR;trim;;;;;;;;;;;;;;;;;;;
radar_acm_mode;ACM mode;ACM;trim;;;;;;;;;;;;;;;;;;;
radar_hms_mode;HMS mode;HMS;trim;;;;;;;;;;;;;;;;;;;
radar_nctr;NCTR, types;NCTR, types;same;;;;;;;;;;;;;;;;;;;
radar_sarh;SARH;SARH;same;;;;;;;;;;;;;;;;;;;
radar_mg;Missile Guidance;Missile Guidance;same;;;;;;;;;;;;;;;;;;;
radar_dl_channels;DL targets;DL targets;same;;;;;;;;;;;;;;;;;;;
rwr_threats_types;Threats types;Threats types;same;;;;;;;;;;;;;;;;;;;
rwr_tracked_threats_max;Tracked threats;Tracked threats;same;;;;;;;;;;;;;;;;;;;
rwr_tracking_detection;Tracking detection;Tracking detection;same;;;;;;;;;;;;;;;;;;;
rwr_launch_detection;Launch detection;Launch detection;same;;;;;;;;;;;;;;;;;;;
rwr_tracking_threats_types;Tracking threats types;Tracking threats types;same;;;;;;;;;;;;;;;;;;;
rwr_launching_threats_types;Launching threats types;Launching threats types;same;;;;;;;;;;;;;;;;;;;
rwr_scope_id_threats_types;Threat types on scope;Threat types on scope;same;;;;;;;;;;;;;;;;;;;
rwr_present_id_threats_types;Threat types;Threat types;same;;;;;;;;;;;;;;;;;;;
rwr_threats_unlimited;Unlimited;Unlimited;same;;;;;;;;;;;;;;;;;;;
rwr_signal_strength;Signal strength;Signal strength;same;;;;;;;;;;;;;;;;;;;
rwr_iff;IFF;IFF;same;;;;;;;;;;;;;;;;;;;
